17大类,商品名,L1_code,L1_名称,L2_code,L2_名称,L3_code,L3_名称,L4_code(叶),L4_名称(叶),叶子状态,归类性质,匹配方式,置信度
强弱电类,控制电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.010,控制电缆,12.001.010.009,低烟无卤阻燃控制电缆WDZC-KYJY,现有,确实对应,直接继承,inherit
强弱电类,插头,31,中低压配电,31.007,电气辅材,31.007.004,工业连接器,31.007.004.005,航空插头,现有,确实对应,直接继承,inherit
强弱电类,插座,31,中低压配电,31.007,电气辅材,31.007.004,工业连接器,31.007.004.006,航空插座,现有,确实对应,直接继承,inherit
强弱电类,水晶灯,11,灯具照明,11.002,光源、配件,11.002.005,灯具配件,11.002.005.008,灯具支架,现有,确实对应,直接继承,inherit
强弱电类,滑触线,12,电线电缆,12.001,电气装备用电线电缆,12.001.029,滑触线,12.001.029.001,滑触线,现有,确实对应,直接继承,inherit
强弱电类,灯丝,11,灯具照明,11.002,光源、配件,11.002.005,灯具配件,11.002.005.001,启辉器,现有,确实对应,直接继承,inherit
强弱电类,灯罩,11,灯具照明,11.002,光源、配件,11.002.005,灯具配件,11.002.005.010,灯罩,现有,确实对应,直接继承,inherit
强弱电类,电力电缆,12,电线电缆,12.002,电力电缆,12.002.003,低压电力电缆,12.002.003.031,低压铝合金电缆（YJLHV）,现有,确实对应,直接继承,inherit
强弱电类,电压表,31,中低压配电,31.004,电力仪表,31.004.001,电压表,31.004.001.001,电压表,现有,确实对应,直接继承,inherit
强弱电类,电容器,31,中低压配电,31.006,电源设备,31.006.009,电容器,31.006.009.001,电容器,现有,确实对应,直接继承,inherit
强弱电类,电机,10,电器,10.001,商用电器,10.001.007,工业电器,10.001.007.006,工业电器配件,现有,确实对应,直接继承,inherit
强弱电类,电池,11,灯具照明,11.004,室外灯具,11.004.003,便携式灯具,11.004.003.002,头灯,现有,确实对应,直接继承,inherit
强弱电类,电流互感器,31,中低压配电,31.006,电源设备,31.006.010,互感器,31.006.010.001,互感器,现有,确实对应,直接继承,inherit
强弱电类,电流继电器,14,工控自动化,14.002,工业控制,14.002.008,继电器,14.002.008.012,电流继电器,现有,确实对应,直接继承,inherit
强弱电类,电流表,31,中低压配电,31.004,电力仪表,31.004.004,电流表,31.004.004.001,电流表,现有,确实对应,直接继承,inherit
强弱电类,电缆套,12,电线电缆,12.005,计算机网络,12.005.001,光传输,12.005.001.004,光纤热缩管,现有,确实对应,直接继承,inherit
强弱电类,电缆桥架,13,电力穿线,13.001,电缆桥架,13.001.004,防火铁桥架,13.001.004.002,防火梯形桥架,现有,确实对应,直接继承,inherit
强弱电类,电视机,10,电器,10.004,显示设备,10.004.002,家用显示设备,10.004.002.001,电视机,现有,确实对应,直接继承,inherit
强弱电类,电阻器,14,工控自动化,14.002,工业控制,14.002.002,工业控制其它,14.002.002.002,电阻器,现有,确实对应,直接继承,inherit
强弱电类,碘钨灯,11,灯具照明,11.002,光源、配件,11.002.003,HID光源,11.002.003.004,卤钨灯,现有,确实对应,直接继承,inherit
强弱电类,稳压器,31,中低压配电,31.006,电源设备,31.006.008,稳压器,31.006.008.001,稳压器,现有,确实对应,直接继承,inherit
强弱电类,绝缘电缆,12,电线电缆,12.002,电力电缆,12.002.003,低压电力电缆,12.002.003.035,柔性矿物绝缘电缆（RTTZ）,现有,确实对应,直接继承,inherit
强弱电类,聚氯乙烯,12,电线电缆,12.004,线缆辅件,12.004.001,线缆绝缘料,12.004.001.001,线缆用绝缘护套料,现有,确实对应,直接继承,inherit
强弱电类,脚灯,11,灯具照明,11.001,室内灯具,11.001.002,家居灯具,11.001.002.005,感应灯,现有,确实对应,直接继承,inherit
强弱电类,节能灯,11,灯具照明,11.002,光源、配件,11.002.001,传统光源,11.002.001.002,节能灯,现有,确实对应,直接继承,inherit
强弱电类,行程开关,14,工控自动化,14.002,工业控制,14.002.009,控制开关,14.002.009.018,行程开关,现有,确实对应,直接继承,inherit
强弱电类,调压器,31,中低压配电,31.006,电源设备,31.006.002,调压器,31.006.002.001,调压器,现有,确实对应,直接继承,inherit
强弱电类,负荷开关,31,中低压配电,31.003,低压配电,31.003.005,隔离开关,31.003.005.005,负荷开关附件,现有,确实对应,直接继承,inherit
强弱电类,起动器,14,工控自动化,14.001,工业自动化,14.001.012,软起动器,14.001.012.001,软起动器,现有,确实对应,直接继承,inherit
强弱电类,路灯,11,灯具照明,11.004,室外灯具,11.004.001,道路交通灯具,11.004.001.007,灯杆,现有,确实对应,直接继承,inherit
强弱电类,通信电缆,12,电线电缆,12.001,电气装备用电线电缆,12.001.023,本安电缆,12.001.023.001,本安电缆,现有,确实对应,直接继承,inherit
强弱电类,避雷针,13,电力穿线,13.009,接地系统,13.009.003,防雷接地,13.009.003.001,避雷针卡,现有,确实对应,直接继承,inherit
强弱电类,镇流器,11,灯具照明,11.002,光源、配件,11.002.005,灯具配件,11.002.005.002,镇流器,现有,确实对应,直接继承,inherit
强弱电类,防爆灯,11,灯具照明,11.003,专业灯具,11.003.004,机床灯具,11.003.004.001,机床灯具,现有,确实对应,直接继承,inherit
强弱电类,降阻剂,13,电力穿线,13.009,接地系统,13.009.003,防雷接地,13.009.003.006,降阻剂,现有,确实对应,直接继承,inherit
强弱电类,障碍灯,11,灯具照明,11.003,专业灯具,11.003.002,航空灯具,11.003.002.002,航空障碍灯,现有,确实对应,直接继承,inherit
强弱电类,高压钠灯,11,灯具照明,11.002,光源、配件,11.002.003,HID光源,11.002.003.002,钠灯,现有,确实对应,直接继承,inherit
给排水类,PPR90°弯头,28,塑胶管道,28.013,PPR管道,28.013.001,PP-R给水管件,28.013.001.004,PP-R等径弯头,现有,确实对应,直接继承,inherit
给排水类,PPR管,28,塑胶管道,28.013,PPR管道,28.013.001,PP-R给水管件,28.013.001.008,PP-R管卡,现有,确实对应,直接继承,inherit
给排水类,PVC90°弯头,28,塑胶管道,28.003,PVC管道,28.003.003,PVC排水管管件,28.003.003.082,PVC排水弯头,现有,确实对应,直接继承,inherit
给排水类,PVC直接,28,塑胶管道,28.003,PVC管道,28.003.004,PVC给水管管件,28.003.004.055,PVC给水直通,现有,确实对应,直接继承,inherit
给排水类,PVC管,28,塑胶管道,28.003,PVC管道,28.003.003,PVC排水管管件,28.003.003.098,PVC排水管帽,现有,确实对应,直接继承,inherit
给排水类,增压泵,07,机电,07.004,泵,07.004.006,清水泵,07.004.006.003,管道泵,现有,确实对应,直接继承,inherit
给排水类,存水弯,30,金属管道,30.001,铸铁排水管道,30.001.002,铸铁排水管管件,30.001.002.040,铸铁W型存水弯,现有,确实对应,直接继承,inherit
给排水类,安全阀,25,水暖器材,25.001,阀门辅材,25.001.001,不锈钢阀门,25.001.001.007,不锈钢安全阀,现有,确实对应,直接继承,inherit
给排水类,水位计,25,水暖器材,25.001,阀门辅材,25.001.004,铜阀门,25.001.004.023,铜三通阀,现有,确实对应,直接继承,inherit
给排水类,污水泵,07,机电,07.004,泵,07.004.013,泵配件,07.004.013.005,泵配件,现有,确实对应,直接继承,inherit
给排水类,浮球阀,25,水暖器材,25.001,阀门辅材,25.001.005,铸铁阀门,25.001.005.024,铸铁浮球阀,现有,确实对应,直接继承,inherit
给排水类,渣浆泵,07,机电,07.004,泵,07.004.001,泥浆泵,07.004.001.001,泥浆泵,现有,确实对应,直接继承,inherit
给排水类,自吸泵,07,机电,07.004,泵,07.004.006,清水泵,07.004.006.002,自吸泵,现有,确实对应,直接继承,inherit
给排水类,蝶阀,25,水暖器材,25.001,阀门辅材,25.001.004,铜阀门,25.001.004.001,电动蝶阀,现有,确实对应,直接继承,inherit
给排水类,角阀,25,水暖器材,25.001,阀门辅材,25.001.004,铜阀门,25.001.004.017,铜角阀,现有,确实对应,直接继承,inherit
给排水类,调节阀,25,水暖器材,25.001,阀门辅材,25.001.005,铸铁阀门,25.001.005.016,铸铁调节阀,现有,确实对应,直接继承,inherit
给排水类,蹲便器,28,塑胶管道,28.003,PVC管道,28.003.003,PVC排水管管件,28.003.003.100,PVC排水蹲便器接口,现有,确实对应,直接继承,inherit
给排水类,镀锌钢管,30,金属管道,30.002,碳钢管道,30.002.004,镀锌钢管,30.002.004.001,镀锌管,现有,确实对应,直接继承,inherit
给排水类,闸阀,28,塑胶管道,28.013,PPR管道,28.013.001,PP-R给水管件,28.013.001.035,PP-R闸阀,现有,确实对应,直接继承,inherit
钢筋类,圆钢,21,土建材料,21.001,钢筋及配件,21.001.004,螺纹钢及圆钢,21.001.004.001,黑圆钢,现有,确实对应,直接继承,inherit
钢筋类,螺纹钢,21,土建材料,21.006,预应力,21.006.005,预应力精轧螺纹钢,21.006.005.001,预应力精轧螺纹钢,现有,确实对应,直接继承,inherit
暖通气动类,冷冻式干燥机,07,机电,07.007,空气压缩设备,07.007.003,干燥机,07.007.003.001,干燥机,现有,确实对应,直接继承,inherit
暖通气动类,冷凝器,05,气动液压,05.004,液压辅助元件,05.004.006,冷却器,05.004.006.001,冷却器,现有,确实对应,直接继承,inherit
暖通气动类,冷却器,05,气动液压,05.004,液压辅助元件,05.004.006,冷却器,05.004.006.001,冷却器,现有,确实对应,直接继承,inherit
暖通气动类,单向阀,05,气动液压,05.008,气动控制元件,05.008.001,气阀,05.008.001.004,气动单向阀,现有,确实对应,直接继承,inherit
暖通气动类,压缩空气,24,暖通,24.002,通风设备,24.002.005,水处理设备,24.002.005.002,压力容器罐,现有,确实对应,直接继承,inherit
暖通气动类,换热器,05,气动液压,05.004,液压辅助元件,05.004.008,换热器,05.004.008.001,换热器,现有,确实对应,直接继承,inherit
暖通气动类,散流器,24,暖通,24.003,通风配件,24.003.003,风口,24.003.003.007,圆形散流器,现有,确实对应,直接继承,inherit
暖通气动类,方形散流器,24,暖通,24.003,通风配件,24.003.003,风口,24.003.003.002,方形散流器,现有,确实对应,直接继承,inherit
暖通气动类,止回阀,24,暖通,24.008,通风阀门,24.008.002,止回阀,24.008.002.001,止回阀,现有,确实对应,直接继承,inherit
暖通气动类,滤纸,05,气动液压,05.004,液压辅助元件,05.004.004,油液过滤,05.004.004.003,滤油纸,现有,确实对应,直接继承,inherit
暖通气动类,烟道,24,暖通,24.008,通风阀门,24.008.002,止回阀,24.008.002.001,止回阀,现有,确实对应,直接继承,inherit
暖通气动类,百叶窗,24,暖通,24.003,通风配件,24.003.003,风口,24.003.003.006,双层百叶窗,现有,确实对应,直接继承,inherit
暖通气动类,精密过滤器,05,气动液压,05.001,气源处理元件,05.001.001,气源处理元件,05.001.001.006,自动排水器,现有,确实对应,直接继承,inherit
暖通气动类,过滤器,05,气动液压,05.001,气源处理元件,05.001.001,气源处理元件,05.001.001.006,自动排水器,现有,确实对应,直接继承,inherit
暖通气动类,防火阀,24,暖通,24.008,通风阀门,24.008.001,防火阀,24.008.001.001,手动防火阀,现有,确实对应,直接继承,inherit
暖通气动类,静压箱,24,暖通,24.009,通风管道,24.009.001,镀锌钢板通风管,24.009.001.001,镀锌钢板通风管（共板法兰）,现有,确实对应,直接继承,inherit
暖通气动类,风帽,24,暖通,24.003,通风配件,24.003.002,风帽,24.003.002.001,不锈钢无动力风帽,现有,确实对应,直接继承,inherit
暖通气动类,风机盘管,24,暖通,24.006,空调设备,24.006.003,风机盘管,24.006.003.001,卡式风机盘管,现有,确实对应,直接继承,inherit
暖通气动类,风阀,24,暖通,24.008,通风阀门,24.008.003,调节阀,24.008.003.001,手动通风调节阀,现有,确实对应,直接继承,inherit
暖通气动类,鼓风机,24,暖通,24.002,通风设备,24.002.001,风机,24.002.001.002,鼓风机,现有,确实对应,直接继承,inherit
平立面装修类,大理石,19,装饰材料,19.007,地面装饰,19.007.006,墙地面石材,19.007.006.001,大理石,现有,确实对应,直接继承,inherit
平立面装修类,彩钢瓦,19,装饰材料,19.003,屋顶装饰,19.003.001,装饰金属制品,19.003.001.001,彩钢瓦,现有,确实对应,直接继承,inherit
平立面装修类,石膏板,19,装饰材料,19.002,装饰板材,19.002.006,石膏板,19.002.006.001,普通石膏板,现有,确实对应,直接继承,inherit
平立面装修类,石英玻璃,20,门窗,20.003,窗,20.003.014,玻璃,20.003.014.003,普通玻璃,现有,确实对应,直接继承,inherit
平立面装修类,踢脚线,19,装饰材料,19.004,装饰辅料,19.004.001,施工辅料,19.004.001.010,踢脚线,现有,确实对应,直接继承,inherit
平立面装修类,钢化玻璃,20,门窗,20.003,窗,20.003.014,玻璃,20.003.014.001,钢化玻璃,现有,确实对应,直接继承,inherit
平立面装修类,防火门,20,门窗,20.007,防火门,20.007.001,防火门,20.007.001.003,乙级防火门,现有,确实对应,直接继承,inherit
平立面装修类,防盗门,20,门窗,20.002,金属制门,20.002.001,防盗门,20.002.001.001,防盗门,现有,确实对应,直接继承,inherit
油漆涂料,底漆白色,18,涂料化工,18.001,涂料,18.001.002,内墙涂料,18.001.002.001,内墙涂料,现有,确实对应,直接继承,inherit
油漆涂料,环氧固化剂,18,涂料化工,18.003,有机化学品,18.003.001,油性涂料,18.003.001.004,环氧涂料,现有,确实对应,直接继承,inherit
电动工具,台钻,07,机电,07.003,磨切钻机械,07.003.001,台钻,07.003.001.002,数控台钻,现有,确实对应,直接继承,inherit
电动工具,型材切割机,07,机电,07.003,磨切钻机械,07.003.007,磨切钻机械其它,07.003.007.002,磨切钻机械类配件,现有,确实对应,直接继承,inherit
电动工具,柴油发电机,07,机电,07.002,发电机,07.002.002,柴油发电机,07.002.002.001,柴油发电机,现有,确实对应,直接继承,inherit
电动工具,电焊机,04,手动工具,04.019,焊割工具,04.019.007,焊割工具其它,04.019.007.003,电焊机插头,现有,确实对应,直接继承,inherit
电动工具,空压机,07,机电,07.007,空气压缩设备,07.007.001,空压机配件,07.007.001.001,空压机辅件,现有,确实对应,直接继承,inherit
五金耗材类,502胶,03,胶粘,03.002,粘接胶,03.002.001,瞬干胶,03.002.001.004,瞬间胶,现有,确实对应,直接继承,inherit
五金耗材类,AB胶,03,胶粘,03.002,粘接胶,03.002.002,结构粘接胶,03.002.002.009,通用AB胶,现有,确实对应,直接继承,inherit
五金耗材类,乙炔,04,手动工具,04.019,焊割工具,04.019.001,气瓶,04.019.001.006,气瓶胶圈,现有,确实对应,直接继承,inherit
五金耗材类,安全带,01,,01.008,防坠落,01.008.002,安全带及配件,01.008.002.007,半身式安全带,现有,确实对应,直接继承,inherit
五金耗材类,安全帽,01,,01.005,听力防护,01.005.001,耳罩,01.005.001.002,挂帽式耳罩,现有,确实对应,直接继承,inherit
五金耗材类,尖嘴钳,04,手动工具,04.016,夹持工具,04.016.001,钳类,04.016.001.024,尖嘴钳,现有,确实对应,直接继承,inherit
五金耗材类,工作服,01,,01.002,身体防护,01.002.001,防护服,01.002.001.007,马甲,现有,确实对应,直接继承,inherit
五金耗材类,帆布手套,01,,01.004,手部防护,01.004.001,防护手套,01.004.001.011,耐高温手套,现有,确实对应,直接继承,inherit
五金耗材类,斜口钳,04,手动工具,04.005,防爆工具,04.005.008,防爆钳,04.005.008.001,防爆钳,现有,确实对应,直接继承,inherit
五金耗材类,植筋胶,03,胶粘,03.002,粘接胶,03.002.002,结构粘接胶,03.002.002.008,植筋胶,现有,确实对应,直接继承,inherit
五金耗材类,橡皮锤,04,手动工具,04.007,敲击类,04.007.001,锤类,04.007.001.006,橡胶锤,现有,确实对应,直接继承,inherit
五金耗材类,水平尺,04,手动工具,04.001,测量类,04.001.001,尺类,04.001.001.002,水平尺,现有,确实对应,直接继承,inherit
五金耗材类,水泥钉,09,五金丝网,09.002,钉类,09.002.002,钢钉,09.002.002.001,水泥钉,现有,确实对应,直接继承,inherit
五金耗材类,活动扳手,04,手动工具,04.006,绝缘工具,04.006.004,绝缘工具其它,04.006.004.001,绝缘工具其它,现有,确实对应,直接继承,inherit
五金耗材类,滚筒刷,04,手动工具,04.015,涂刷工具,04.015.001,滚刷,04.015.001.001,滚刷,现有,确实对应,直接继承,inherit
五金耗材类,玻璃胶,08,紧固件,08.011,金属胀栓锚栓,08.011.001,化学锚栓,08.011.001.002,8.8级化学锚栓,现有,确实对应,直接继承,inherit
五金耗材类,电笔,04,手动工具,04.018,电子工具,04.018.001,电子测量工具,04.018.001.001,测电笔,现有,确实对应,直接继承,inherit
五金耗材类,砂纸,04,手动工具,04.011,瓦木工具,04.011.001,瓦木工具,04.011.001.015,砂纸,现有,确实对应,直接继承,inherit
五金耗材类,管钳,04,手动工具,04.005,防爆工具,04.005.001,防爆管钳,04.005.001.001,防爆管钳,现有,确实对应,直接继承,inherit
五金耗材类,线坠,04,手动工具,04.011,瓦木工具,04.011.001,瓦木工具,04.011.001.002,线坠,现有,确实对应,直接继承,inherit
五金耗材类,绝缘手套,01,,01.004,手部防护,01.004.001,防护手套,01.004.001.005,绝缘手套,现有,确实对应,直接继承,inherit
五金耗材类,羊角锤,04,手动工具,04.007,敲击类,04.007.001,锤类,04.007.001.002,羊角锤,现有,确实对应,直接继承,inherit
五金耗材类,胶枪,03,胶粘,03.001,密封胶,03.001.004,注胶用品,03.001.004.001,注胶用品,现有,确实对应,直接继承,inherit
五金耗材类,钢丝绳,08,紧固件,08.012,钢结构,08.012.010,钢结构辅材,08.012.010.006,U型钢,现有,确实对应,直接继承,inherit
五金耗材类,钢锯,04,手动工具,04.013,刀剪锯斧,04.013.003,锯类,04.013.003.001,锯弓,现有,确实对应,直接继承,inherit
五金耗材类,铁钉,09,五金丝网,09.002,钉类,09.002.001,铁钉,09.002.001.006,鞋钉,现有,确实对应,直接继承,inherit
五金耗材类,镀锌铁丝,09,五金丝网,09.003,丝类,09.003.002,铁丝,09.003.002.003,镀锌铁丝,现有,确实对应,直接继承,inherit
五金耗材类,防尘口罩,01,,01.003,呼吸防护,01.003.001,口罩,01.003.001.007,纱布口罩,现有,确实对应,直接继承,inherit
五金耗材类,雨衣,01,,01.002,身体防护,01.002.002,雨具,01.002.002.001,雨衣,现有,确实对应,直接继承,inherit
五金耗材类,雨鞋,01,,01.001,足部防护,01.001.004,鞋套,01.001.004.005,防化鞋套,现有,确实对应,直接继承,inherit
消防类,喷头,26,消防,26.002,消防水,26.002.003,消防喷头,26.002.003.003,上喷式喷头,现有,确实对应,直接继承,inherit
消防类,室内消火栓,26,消防,26.001,消防器材,26.001.010,消火栓,26.001.010.001,室内消火栓,现有,确实对应,直接继承,inherit
消防类,干粉灭火器,26,消防,26.001,消防器材,26.001.011,灭火器配件,26.001.011.001,灭火器干粉,现有,确实对应,直接继承,inherit
消防类,灭火器,26,消防,26.001,消防器材,26.001.011,灭火器配件,26.001.011.009,灭火器压力罐,现有,确实对应,直接继承,inherit
临时设施,塑料垃圾桶-圆柱桶,22,临建设施,22.004,金属防护框架,(待生成),塑料垃圾桶(圆柱桶)  ← 新建,,,新补,语义推测,语义推测·需建新叶,new
临时设施,塑料垃圾桶-长方体桶,22,临建设施,22.004,金属防护框架,(待生成),塑料垃圾桶(长方体桶)  ← 新建,,,新补,语义推测,语义推测·需建新叶,new
临时设施,安全指示牌,22,临建设施,22.005,道路安全,22.005.013,警示桩,(待生成),安全指示牌  ← 新建,新补,语义推测,语义推测·需建新叶,new
临时设施,活动板房,22,临建设施,22.006,活动房屋,22.006.001,活动房屋,22.006.001.001,活动板房,现有,语义推测,语义分类,high
临时设施,白色涤纶网,22,临建设施,22.002,围挡防护,22.002.007,防雨防晒布,(待生成),白色涤纶防护网  ← 新建,新补,语义推测,语义推测·需建新叶,new
临时设施,绿色安全网,09,五金丝网,09.001,非金属网,09.001.001,绳网,09.001.001.001,密目网,现有,语义推测,语义救回,high
临时设施,绿色防火安全网,09,五金丝网,09.001,非金属网,09.001.001,绳网,09.001.001.008,防炎网,现有,语义推测,语义救回,high
临时设施,钢制储油罐,22,临建设施,22.004,金属防护框架,(待生成),钢制柴油储油罐  ← 新建,,,新补,语义推测,语义推测·需建新叶,new
临时设施,集装箱,22,临建设施,22.006,活动房屋,22.006.001,活动房屋,(待生成),集装箱(通用)  ← 新建,新补,语义推测,语义推测·需建新叶,new
临时设施,集装箱房,22,临建设施,22.006,活动房屋,22.006.001,活动房屋,22.006.001.002,活动箱房,现有,语义推测,语义分类,high
五金耗材类,万向轮,04,手动工具,04.008,汽保工具,(待生成),脚轮/万向轮  ← 新建,,,新补,语义推测,语义推测·需建新叶,new
五金耗材类,不锈钢合页,20,门窗,20.004,门窗五金,20.004.007,合页,20.004.007.001,不锈钢合页,现有,语义推测,语义分类,high
五金耗材类,倒链葫芦,04,手动工具,04.008,汽保工具,(待生成),手拉葫芦/倒链  ← 新建,,,新补,语义推测,语义推测·需建新叶,new
五金耗材类,剥线钳子,04,手动工具,04.016,夹持工具,04.016.001,钳类,04.016.001.009,剥线钳,现有,语义推测,语义分类,high
五金耗材类,劳保鞋,01,,01.001,足部防护,01.001.002,安全鞋,01.001.002.003,多功能安全鞋,现有,语义推测,语义分类,med
五金耗材类,十字螺丝刀,04,手动工具,04.014,螺丝批类,04.014.002,花形螺丝批,04.014.002.001,花形螺丝批,现有,语义推测,语义分类,med
五金耗材类,卷尺,04,手动工具,04.001,测量类,04.001.001,尺类,04.001.001.001,卷尺,现有,语义推测,语义分类,high
五金耗材类,压力表,04,手动工具,04.019,焊割工具,04.019.008,焊接仪表,(待生成),压力表  ← 新建,新补,语义推测,语义推测·需建新叶,new
五金耗材类,双面胶带,04,手动工具,(待生成),双面胶带  ← 新建,,,,,新补,语义推测,语义推测·需建新叶,new
五金耗材类,反光背心,01,,01.002,身体防护,01.002.003,工作服,01.002.003.001,反光衣,现有,语义推测,语义分类,high
五金耗材类,喷枪管子,04,手动工具,04.012,手动工具其它,04.012.003,喷灯喷枪,(待生成),喷枪配件管  ← 新建,新补,语义推测,语义推测·需建新叶,new
五金耗材类,喷雾器,04,手动工具,04.012,手动工具其它,(待生成),喷雾器  ← 新建,,,新补,语义推测,语义推测·需建新叶,new
五金耗材类,图钉,04,手动工具,(待生成),图钉  ← 新建,,,,,新补,语义推测,语义推测·需建新叶,new
五金耗材类,塑料膨胀栓,08,紧固件,08.001,塑料胀栓锚栓,08.001.001,塑料胀塞,08.001.001.001,塑料胀塞,现有,语义推测,语义分类,high
五金耗材类,塑料餐桌,01,,,,,,,,无法归类,无法匹配,无法归类,new
五金耗材类,塑料餐桌凳子,01,,,,,,,,无法归类,无法匹配,无法归类,new
五金耗材类,墨斗,04,手动工具,04.011,瓦木工具,04.011.001,瓦木工具,04.011.001.008,墨斗,现有,语义推测,语义分类,high
五金耗材类,墨汁,04,手动工具,04.011,瓦木工具,04.011.001,瓦木工具,(待生成),墨汁  ← 新建,新补,语义推测,语义推测·需建新叶,new
五金耗材类,壁纸美工刀,04,手动工具,04.013,刀剪锯斧,04.013.001,刀类,04.013.001.001,美工刀,现有,语义推测,语义分类,high
五金耗材类,壁纸美工刀片,04,手动工具,04.013,刀剪锯斧,04.013.001,刀类,04.013.001.007,美工刀片,现有,语义推测,语义分类,high
五金耗材类,安装闭门器,20,门窗,20.004,门窗五金,20.004.006,闭门器,20.004.006.001,闭门器,现有,语义推测,语义分类,high
五金耗材类,小推车,04,手动工具,04.008,汽保工具,(待生成),小推车/手推车  ← 新建,,,新补,语义推测,语义推测·需建新叶,new
